CANNOT chose from ссѣдати	 to 	ссѣцати, снѣдати, ссѣкати, сѣдати, свѣдати, всѣдати	 distance == 1
CANNOT chose from слукий	 to 	глухий, сухий, сладкий	 distance == 2
CANNOT chose from ножка	 to 	нужда, доска, кожа, нога, нора, бочка, точка, тоска, почка, наука	 distance == 2
CANNOT chose from выший	 to 	высший, вышний	 distance == 1
CANNOT chose from вѣкша	 to 	весна, рѣка, вѣра, свекла, верба	 distance == 2
CANNOT chose from выкупати	 to 	вкушати, вскапати, покупати, вскопати, выручати, вступати, вкопати	 distance == 2
CANNOT chose from головникъ	 to 	толковникъ, положникъ	 distance == 2
CANNOT chose from вревный	 to 	вредный, древный, чревный	 distance == 1
CANNOT chose from помечный	 to 	поточный, порочный, помощный, мечный	 distance == 2
CANNOT chose from проторъ	 to 	риторъ, позоръ, потопъ, потокъ, притворъ, пророкъ, потворъ, потиръ, проходъ, призоръ, прологъ	 distance == 2
CANNOT chose from сума	 to 	суша, сула, кума	 distance == 1
CANNOT chose from рѣпинный	 to 	невинный, непитный, нечинный	 distance == 2
CANNOT chose from додержати	 to 	содержати, одержати	 distance == 1
CANNOT chose from ногата	 to 	лопата, нога, нагота	 distance == 2
CANNOT chose from чернчий	 to 	жерчий, черный	 distance == 2
CANNOT chose from просопъ	 to 	посолъ, посохъ, потопъ, пророкъ, проходъ, прологъ	 distance == 2
CANNOT chose from наставъ	 to 	составъ, уставъ, поставъ	 distance == 2
CANNOT chose from погренути	 to 	погребсти, погребати, погибнути, погаснути, погрѣшити, погрязнути, погрѣшати	 distance == 2
CANNOT chose from нажиръ	 to 	жиръ, афиръ, саниръ, сатиръ, сафиръ, адиръ, фамиръ, гадиръ	 distance == 2
CANNOT chose from исто	 to 	тѣсто, число, мѣсто, яство, иго, лѣто, лысто, жито	 distance == 2
CANNOT chose from запустити	 to 	заустити, загустити, напустити, запустѣти	 distance == 1
CANNOT chose from заколоти	 to 	заклати, закляти	 distance == 2
CANNOT chose from вирный	 to 	вѣрный, пирный, видный, винный, мирный	 distance == 1
CANNOT chose from робити	 to 	родити, пробити, побити, обити	 distance == 1
CANNOT chose from ролийный	 to 	копийный, молнийный, солищный	 distance == 2
CANNOT chose from розвязати	 to 	обвязати, сосвязати	 distance == 2
CANNOT chose from порвати	 to 	порѣвати, позвати	 distance == 1
CANNOT chose from росѣчи	 to 	посѣщи, просѣщи	 distance == 2
CANNOT chose from ролеиный	 to 	колесный, полѣзный, полезный, ровенный, молебный, колѣнный	 distance == 2
CANNOT chose from подтяти	 to 	подняти, подаяти, подпяти, подъяти	 distance == 1
CANNOT chose from накладъ	 to 	саладъ, кладъ	 distance == 2
CANNOT chose from лазити	 to 	влазити, разити, слазити	 distance == 1
CANNOT chose from олекъ	 to 	лукъ, ликъ, алокъ	 distance == 2
CANNOT chose from отбити	 to 	отшити, обити	 distance == 1
CANNOT chose from набоиный	 to 	надобный, нагорный, народный, работный	 distance == 2
CANNOT chose from уты	 to 	уда, ятры, уза	 distance == 2
CANNOT chose from исплатити	 to 	исплевити, платити, испустити, заплатити, испалити, истлачити, исправити, измлатити	 distance == 2
CANNOT chose from задница	 to 	зѣница, златница, ратница, агница, мѣдница	 distance == 2
CANNOT chose from робий	 to 	рабий, рыбий	 distance == 1
CANNOT chose from пригостити	 to 	причастити, простити, приносити, пригонити, прирастити	 distance == 2
CANNOT chose from ростеряти	 to 	остѣняти, восперяти, потеряти	 distance == 2
CANNOT chose from медокъ	 to 	мескъ, медъ, ведекъ, седекъ	 distance == 2
CANNOT chose from тиунство	 to 	пиянство, таинство	 distance == 2
CANNOT chose from дача	 to 	вапа, куча, кана, ваиа, дска, сажа, пара, чаша, жаба, цата, дира, туча, кама, вала, душа, дуга, кара, дань, чаща, луча, пава, дѣва, сѣча, газа, дора, рака, рана, раба, баба	 distance == 2
CANNOT chose from роботити	 to 	обротити, обожити, работати	 distance == 2
CANNOT chose from али	 to 	ели, ли, или	 distance == 1
CANNOT chose from луеи	 to 	луда, луча, луна	 distance == 2
CANNOT chose from складати	 to 	сплавати, слагати, скакати, накладати, сказати, скласти, украдати, обладати, страдати, окрадати, спадати, сладити	 distance == 2
CANNOT chose from борть	 to 	боль, кость, горсть, ость	 distance == 2
CANNOT chose from бортный	 to 	потный, костный, бурный, богатный, борзый, блатный, горный, больный, постный	 distance == 2
CANNOT chose from отсочити	 to 	отсрочити, отскочити	 distance == 1
CANNOT chose from близостный	 to 	близосвѣтный, благостный	 distance == 2
CANNOT chose from срѣзити	 to 	срѣтити, сразити	 distance == 1
CANNOT chose from отчимъ	 to 	отчетъ, атаимъ	 distance == 2
CANNOT chose from переемный	 to 	приемный, преумный	 distance == 2
CANNOT chose from иступити	 to 	уступити, ступити	 distance == 1
CANNOT chose from трѣзвити	 to 	трезвитися, развити	 distance == 2
CANNOT chose from инока	 to 	икона, ирофа, нога, нора, иота, юнота, сноха, юнона	 distance == 2
CANNOT chose from марко	 to 	маръ, мартъ	 distance == 2
CANNOT chose from налои	 to 	аналой, налогъ	 distance == 2
CANNOT chose from шестъ	 to 	постъ, тесть, ростъ, мостъ	 distance == 2
CANNOT chose from испстрити	 to 	испустити, испещрити	 distance == 2
CANNOT chose from пепелесый	 to 	пелесый, пепельный	 distance == 2
CANNOT chose from докучати	 to 	дручати, скучати, докончати	 distance == 2
CANNOT chose from отстричи	 to 	острити, острищи	 distance == 2
CANNOT chose from угрѣша	 to 	угроза, груша	 distance == 2
CANNOT chose from навинъ	 to 	овинъ, навыкъ, навѣтъ, иавимъ, аинъ, танинъ, иависъ, гаинъ, саванъ, латинъ, кашинъ	 distance == 2
CANNOT chose from оттечи	 to 	отпѣти, отрети, отсѣщи, обтещи, отрещи, оттрети	 distance == 2
CANNOT chose from задавити	 to 	задати, раздавити, давити, подавити, запалити, удавити, задѣвати, заставити, завалити	 distance == 2
CANNOT chose from поблагодарити	 to 	неблагодарити, благодарити	 distance == 2
CANNOT chose from клюка	 to 	клеща, кирка, плюска, клѣтка	 distance == 2
CANNOT chose from распѣвъ	 to 	запѣвъ, расефъ, расемъ	 distance == 2
CANNOT chose from притащити	 to 	приставити, привалити, приобщити, припалити, приразити, причащати, придавити, притупити	 distance == 2
CANNOT chose from кинути	 to 	зинути, ринути, минути	 distance == 1
CANNOT chose from перина	 to 	пѣвица, пучина, верига, серна, гемина, пятина, пѣна, персида, пелена, сѣдина, ширина	 distance == 2
CANNOT chose from полтора	 to 	полнота, подпора, полтава	 distance == 2
CANNOT chose from унимати	 to 	внимати, уимати, снимати	 distance == 1
CANNOT chose from задумати	 to 	задати, заушати, подумати, занимати, думати, задѣвати, заимати	 distance == 2
CANNOT chose from данилъ	 to 	анимъ, аилъ, саниръ, данникъ, танинъ, каналъ, данафъ	 distance == 2
CANNOT chose from схватати	 to 	свитати, свѣтати, ухватити	 distance == 2
CANNOT chose from тверский	 to 	верский, иверский	 distance == 1
CANNOT chose from тюрма	 to 	тьма, корма, ерма	 distance == 2
CANNOT chose from колский	 to 	коликий, конский	 distance == 1
CANNOT chose from похлѣбати	 to 	подлежати, погребати, колебати, поплевати, поколебати, подлегати	 distance == 2
CANNOT chose from толкати	 to 	ткати, толковати, текати, алкати	 distance == 2
CANNOT chose from цѣлоумный	 to 	велеумный, дѣтоумный, малоумный, злоумный	 distance == 2
CANNOT chose from заказати	 to 	наказати, закалати	 distance == 1
CANNOT chose from раждещи	 to 	раждати, разжещи, разсѣщи, зажещи, радѣти	 distance == 2
CANNOT chose from растопорити	 to 	растворити, растопити	 distance == 2
CANNOT chose from шелепъ	 to 	шлемъ, шелкъ	 distance == 2
CANNOT chose from караулъ	 to 	кармилъ, каналъ, каролъ	 distance == 2
CANNOT chose from расмѣяти	 to 	насѣяти, расчести, разсѣяти, развѣяти, растаяти, распяти, распѣняти, посмѣяти, осмѣяти	 distance == 2
CANNOT chose from низский	 to 	низкий, нисский	 distance == 1
CANNOT chose from костелъ	 to 	котелъ, костеръ	 distance == 1
CANNOT chose from взбѣсити	 to 	возвѣсити, возмѣсити	 distance == 2
CANNOT chose from лѣна	 to 	лѣха, цѣна, мѣна, лѣса, луна, пѣна	 distance == 1
CANNOT chose from прѣтыкание	 to 	прерѣкание, потыкание, пребывание, пререкание, притекание	 distance == 2
CANNOT chose from дауры	 to 	даръ, чары	 distance == 2
CANNOT chose from загрузити	 to 	грузити, заградити, погрузити	 distance == 2
CANNOT chose from полуба	 to 	подоба, порука, польза, поляна, мольба, волшба, пагуба, колиба	 distance == 2
CANNOT chose from наверху	 to 	верху, сверху	 distance == 2
CANNOT chose from наверхъ	 to 	поверхъ, сверхъ	 distance == 2
CANNOT chose from осердити	 to 	осудити, осадити	 distance == 2
CANNOT chose from казакъ	 to 	акакъ, канафъ, хазаръ, фаракъ, азикъ, каналъ, камыкъ, рафакъ, каганъ, харакъ	 distance == 2
CANNOT chose from поглядѣти	 to 	поглядати, соглядѣти	 distance == 1
CANNOT chose from утица	 to 	улица, птица, удица	 distance == 1
CANNOT chose from галка	 to 	фаска, вала, лавка, гаваа, алфа, газа, рака, наука	 distance == 2
CANNOT chose from сѣрый	 to 	сѣдый, сырый, сирый	 distance == 1
CANNOT chose from гуляти	 to 	буяти, густи, кляти, хулити, губити, валяти, уяти, чуяти, являти	 distance == 2
CANNOT chose from баранъ	 to 	маранъ, харанъ	 distance == 1
CANNOT chose from прѣзирати	 to 	призирати, прозирати	 distance == 1
CANNOT chose from помчати	 to 	помаати, поучати	 distance == 1
CANNOT chose from шпага	 to 	влага, пара, пава	 distance == 2
CANNOT chose from распопъ	 to 	расходъ, расколъ	 distance == 2
CANNOT chose from зашибити	 to 	забити, защитити	 distance == 2
CANNOT chose from кнутъ	 to 	анунъ, кругъ, гнусъ, внукъ, кумъ, китъ, критъ	 distance == 2
CANNOT chose from оттащити	 to 	отвалити, отдалити, отставити, отразити, отравити, оставити	 distance == 2
CANNOT chose from взбрести	 to 	брести, изобрѣсти, обрѣсти	 distance == 2
CANNOT chose from вѣдь	 to 	впредь, вездѣ	 distance == 2
CANNOT chose from воровати	 to 	вѣровати, ворковати	 distance == 1
CANNOT chose from погибѣльный	 to 	негибельный, гибельный	 distance == 2
CANNOT chose from щемити	 to 	ломити, томити	 distance == 2
CANNOT chose from тянути	 to 	зябнути, дхнути, тнити, утонути, уснути, стягнути, тязати, зинути, ринути, лягнути, дунути, минути, увянути	 distance == 2
CANNOT chose from падунъ	 to 	иахунъ, падежъ, анунъ, ладанъ, паукъ, панъ, парусъ	 distance == 2
CANNOT chose from крутый	 to 	грубый, кривый, круглый	 distance == 2
CANNOT chose from штець	 to 	чтецъ, отецъ	 distance == 2
CANNOT chose from прѣблагий	 to 	неблагий, всеблагий, предрагий	 distance == 2
CANNOT chose from прѣдобрый	 to 	вседобрый, недобрый	 distance == 2
CANNOT chose from таки	 to 	тако, такъ	 distance == 1
CANNOT chose from смощи	 to 	сѣщи, сжещи, спомощи, слещи, помощи, стещи	 distance == 2
CANNOT chose from щелка	 to 	селха, селла, тетка, рѣка	 distance == 2
CANNOT chose from замерзти	 to 	намѣряти, замѣняти, намѣрити, замерзнути, замѣчати, замѣтити, замѣнити	 distance == 2
CANNOT chose from протолкати	 to 	протолковати, премолкати, протекати	 distance == 2
CANNOT chose from откулѣ	 to 	отселѣ, оттолѣ, откуда, откуду	 distance == 2
CANNOT chose from лямка	 to 	яма, рябка, лавка, рядка	 distance == 2
CANNOT chose from пухнути	 to 	посхнути, потухнути	 distance == 2
CANNOT chose from посинѣти	 to 	пожинати, посѣдѣти, коснѣти, поспѣти, посхнути, повинути, поминати	 distance == 2
CANNOT chose from хилокъ	 to 	хелекъ, халкъ	 distance == 2
CANNOT chose from барка	 to 	кирка, фаска, пара, бочка, кара, лавка, карфа, рака, баба, наука	 distance == 2
CANNOT chose from размыти	 to 	разумѣти, раздати, разлити, разити, измыти, развити, разбити	 distance == 2
CANNOT chose from кустъ	 to 	кусокъ, крестъ	 distance == 2
CANNOT chose from доѣхати	 to 	ѣхати, дыхати, дѣлати	 distance == 2
CANNOT chose from наняти	 to 	наяти, заняти	 distance == 1
CANNOT chose from маленкий	 to 	мальский, малеонский	 distance == 2
CANNOT chose from повалити	 to 	повапити, похвалити, попалити	 distance == 1
CANNOT chose from засѣка	 to 	засада, завѣса, фаска	 distance == 2
CANNOT chose from натѣшити	 to 	намѣрити, утѣшити, навершити, населити, нарушити, нашити, натекати	 distance == 2
CANNOT chose from мрѣти	 to 	врѣти, грѣти, зрѣти, мнѣти	 distance == 1
CANNOT chose from палка	 to 	палица, фаска, пара, вала, лавка, пава, пасха, палата, алфа, пила, рака, почка, наука	 distance == 2
CANNOT chose from пытка	 to 	тетка, пята, почка	 distance == 2
CANNOT chose from бите	 to 	било, жито	 distance == 2
CANNOT chose from ущипати	 to 	утопати, усыпати, уимати, упитати, утишати, утихати, утирати, убирати, убивати, умирати	 distance == 2
CANNOT chose from перебивати	 to 	пребывати, прибивати	 distance == 2
CANNOT chose from скитати	 to 	свитати, считати	 distance == 1
CANNOT chose from кобылий	 to 	козлий, доблий	 distance == 2
CANNOT chose from фекла	 to 	тесла, селла, рѣка, иефла, ферса, свекла	 distance == 2
CANNOT chose from избродити	 to 	изводити, избодати, бродити	 distance == 2
CANNOT chose from мучка	 to 	ручка, мука	 distance == 1
CANNOT chose from пудикъ	 to 	екдикъ, подиръ, пификъ, путникъ, пудъ	 distance == 2
CANNOT chose from нагрести	 to 	навести, загребсти, назрѣти, нанести	 distance == 2
CANNOT chose from ингода	 to 	выгода, угода, ягода, инадда	 distance == 2
CANNOT chose from ворожити	 to 	вооружити, вражити	 distance == 2
CANNOT chose from попечи	 to 	порещи, посѣщи, поспѣти, пожещи, пропѣти, потещи	 distance == 2
CANNOT chose from улианъ	 to 	млинъ, ливанъ, униатъ, уламъ, клинъ, фулвианъ, алланъ	 distance == 2
CANNOT chose from молебствовати	 to 	волшебствовати, молитствовати	 distance == 2
CANNOT chose from полѣние	 to 	болѣние, полѣнце	 distance == 1
CANNOT chose from сердити	 to 	судити, садити, сходити, сводити	 distance == 2
CANNOT chose from ну	 to 	выну, уне, внѣ, низу	 distance == 2
CANNOT chose from даурский	 to 	тарский, патрский, барский, царский, турский, курский, латрский	 distance == 2
CANNOT chose from немирный	 to 	неотмирный, мирный	 distance == 2
CANNOT chose from омѣтати	 to 	метати, вмѣтати	 distance == 1
CANNOT chose from прѣвзлежати	 to 	превозлетати, предлежати, прележати	 distance == 2
CANNOT chose from иргенъ	 to 	зигенъ, органъ	 distance == 2
CANNOT chose from наѣсти	 to 	навести, нанести	 distance == 1
CANNOT chose from ссорити	 to 	острити, оспорити	 distance == 2
CANNOT chose from прилучити	 to 	прилѣпити, прилити, присудити, приложити, прикупити, принудити, получити, прилучитися, привлачити, притупити	 distance == 2
CANNOT chose from орефа	 to 	орѣхъ, орелъ	 distance == 2
CANNOT chose from помирити	 to 	смирити, умирити	 distance == 2
CANNOT chose from выѣхати	 to 	вметати, вдѣжати, вѣщати, всѣвати, вбѣжати, вмѣщати, ѣхати, вмѣшати, выслати, дыхати, вырѣзати, вѣшати, вѣдати, вдѣвати, вдыхати, вмѣтати, выпѣвати, выдати, всѣдати, воевати	 distance == 2
CANNOT chose from шаманити	 to 	манити, замѣнити	 distance == 2
CANNOT chose from гадати	 to 	задати, жадати, падати	 distance == 1
CANNOT chose from афанасевъ	 to 	асанаевъ, афаниевъ	 distance == 2
CANNOT chose from выстрѣлити	 to 	дострѣлити, выстроити, устрѣлити, стрѣлити	 distance == 2
CANNOT chose from взбѣжати	 to 	вбѣжати, избѣжати	 distance == 1
CANNOT chose from выбрести	 to 	брести, обрѣсти, вынести	 distance == 2
CANNOT chose from поѣздъ	 to 	поводъ, походъ	 distance == 2
CANNOT chose from ввалити	 to 	хвалити, валити	 distance == 1
CANNOT chose from плѣвелъ	 to 	пѣвецъ, пепелъ, превѣсъ, предѣлъ, пѣтелъ, плевъ	 distance == 2
CANNOT chose from померети	 to 	пожрети, помести	 distance == 2
CANNOT chose from наѣхати	 to 	наткати, начати, ѣхати, надѣвати, научати, наздати, наимати, налегати, набрати, напѣвати, наметати, настати, належати, насѣвати, набѣжати, назвати, натекати	 distance == 2
CANNOT chose from соболь	 to 	боль, соль	 distance == 2
CANNOT chose from скропати	 to 	ископати, укрочати, скопити, строгати, вскопати, скрывати, копати, укрощати, кропити, окропити, окопати, вкопати	 distance == 2
CANNOT chose from гребло	 to 	ребро, сребро, стебло, чресло	 distance == 2
CANNOT chose from перегрести	 to 	перенести, перевести	 distance == 2
CANNOT chose from сигъ	 to 	сеиръ, стогъ, пеигъ, слогъ, сиоръ, сигоръ, сионъ	 distance == 2
CANNOT chose from жирный	 to 	пирный, житный, мирный	 distance == 1
CANNOT chose from жарити	 to 	парити, дарити, варити, жалити	 distance == 1
CANNOT chose from выдаяти	 to 	вдаяти, выдати	 distance == 1
CANNOT chose from сажение	 to 	сражение, кажение, саждение	 distance == 1
CANNOT chose from мезень	 to 	ремень, елень	 distance == 2
CANNOT chose from жрѣбя	 to 	жребий, жрецъ	 distance == 2
CANNOT chose from подержати	 to 	содержати, одержати, поддержати	 distance == 1
CANNOT chose from скопъ	 to 	скотъ, снопъ	 distance == 1
CANNOT chose from обинути	 to 	зинути, ринути, минути	 distance == 2
CANNOT chose from аль	 to 	амо, коль, мало, ако	 distance == 2
CANNOT chose from обѣдение	 to 	обсѣдение, обѣшение	 distance == 1
CANNOT chose from женатый	 to 	пернатый, стѣнатый, желтый	 distance == 2
CANNOT chose from тутже	 to 	тамже, уже, тучнѣ, туне	 distance == 2
CANNOT chose from коря	 to 	корякъ, кормъ	 distance == 2
CANNOT chose from намерзати	 to 	намазати, намизати	 distance == 2
CANNOT chose from тихонкий	 to 	тонкий, тиронский	 distance == 2
CANNOT chose from кисель	 to 	гимель, гигель, житель	 distance == 2
CANNOT chose from содвинути	 to 	повинути, сподвигнути, подвигнути	 distance == 2
CANNOT chose from родионъ	 to 	иродианъ, триодионъ, родосъ, логионъ, худионъ	 distance == 2
CANNOT chose from заболѣти	 to 	болѣти, поболѣти, захотѣти	 distance == 2
CANNOT chose from покоиникъ	 to 	пособникъ, поклонникъ, помощникъ, похотникъ, подобникъ, посошникъ, положникъ, поборникъ, порочникъ	 distance == 2
CANNOT chose from жаркий	 to 	жерчий, такий, тарский, барский, царский, какий	 distance == 2
CANNOT chose from сказка	 to 	скука, скала	 distance == 2
CANNOT chose from горюнъ	 to 	горбъ, городъ, воронъ, горохъ, голанъ	 distance == 2
CANNOT chose from ель	 to 	еще, коль	 distance == 2
CANNOT chose from дотащити	 to 	добавити, потаити, доставити, досадити	 distance == 2
CANNOT chose from осипъ	 to 	ошибъ, сосилъ, овинъ, онихъ, олимпъ, оселъ	 distance == 2
CANNOT chose from приѣзжати	 to 	притяжати, прилежати, приздати, приражати, прибѣжати, придержати, прижати, признати, призвати	 distance == 2
CANNOT chose from охота	 to 	рота, иота, вота	 distance == 2
CANNOT chose from тошный	 to 	точный, тощный	 distance == 1
CANNOT chose from срание	 to 	спание, орание	 distance == 1
CANNOT chose from откутати	 to 	отлучати, опутати, соскутати, отметати, отказати, откупити, отпущати, отстати, отлетати	 distance == 2
CANNOT chose from табакъ	 to 	тавафъ, акакъ, фаракъ, рафакъ, харакъ	 distance == 2
CANNOT chose from сегда	 to 	егда, всегда	 distance == 1
CANNOT chose from покидати	 to 	пожидати, покивати	 distance == 1
CANNOT chose from доживати	 to 	дожидати, оживати	 distance == 1
CANNOT chose from грянути	 to 	вринути, грясти, гибнути, ринути, увянути	 distance == 2
CANNOT chose from проѣхати	 to 	прещати, прощати, продати, прозвати, пронзати, предати, протесати, провѣщати, прогнати, пробѣгати, протекати	 distance == 2
CANNOT chose from видати	 to 	вдати, выдати	 distance == 1
CANNOT chose from откласти	 to 	скласти, класти	 distance == 2
CANNOT chose from кочене	 to 	точение, корение, кичение, колѣно	 distance == 2
CANNOT chose from рвати	 to 	жвати, ржати, звати	 distance == 1
CANNOT chose from мезенский	 to 	монзенский, моденский	 distance == 2
CANNOT chose from родня	 to 	броня, родина, сотня, воня	 distance == 2
CANNOT chose from висѣлица	 to 	вилица, выпелица	 distance == 2
CANNOT chose from зацѣпити	 to 	завѣсити, замѣтити, замѣнити	 distance == 2
CANNOT chose from ладно	 to 	нудно, лично, бѣдно, блудно, лѣтно, сладко, чудно, давно, равно, славно, рано, тайно, ложно	 distance == 2
CANNOT chose from постати	 to 	остати, постлати, поспати, послати, достати	 distance == 1
CANNOT chose from гурий	 to 	иуний, улий, суфий, иулий	 distance == 2
CANNOT chose from закричати	 to 	заключати, закрывати, кричати, заклинати	 distance == 2
CANNOT chose from нужица	 to 	нужда, улица, кожица, нуждница, ножница, сулица, удица, книжица, ложица, лжица, мушица, ужика, луница, душица	 distance == 2
CANNOT chose from шпыняти	 to 	всыняти, поняти, выняти	 distance == 2
CANNOT chose from ввезти	 to 	везти, ввести, свезти	 distance == 1
CANNOT chose from сискати	 to 	пискати, искати, снискати	 distance == 1
CANNOT chose from своровати	 to 	спорѣвати, вѣровати, ворковати, связовати, увѣровати	 distance == 2
CANNOT chose from паисий	 to 	дасий, харисий	 distance == 2
CANNOT chose from плаха	 to 	лѣха, праща, влага, пара, плиада, глава, блоха, пава, пасха, слава, палата, леха	 distance == 2
CANNOT chose from струбъ	 to 	стругъ, струпъ, струфъ	 distance == 1
CANNOT chose from ломота	 to 	лѣпота, нѣмота, лопата, гомола, хромота	 distance == 2
CANNOT chose from зажити	 to 	забити, заити	 distance == 1
CANNOT chose from дрожь	 to 	ложь, кровь, бровь	 distance == 2
CANNOT chose from старобытный	 to 	старостный, самобытный	 distance == 2
CANNOT chose from стрежати	 to 	стрѣкати, стрѣцати	 distance == 1
CANNOT chose from прѣкрасный	 to 	превратный, преужасный, всекрасный	 distance == 2
CANNOT chose from ученый	 to 	ячный, очный	 distance == 2
CANNOT chose from сглупати	 to 	случати, слушати, ступати	 distance == 2
CANNOT chose from завопити	 to 	завѣсити, заточити, наводити, затворити, свопити, закопати, заложити, завалити, звонити, заходити	 distance == 2
CANNOT chose from герасимъ	 to 	ферафимъ, гефаимъ	 distance == 2
CANNOT chose from голка	 to 	доска, толпа, бочка, гора, точка, молва, тоска, волна, толща, почка	 distance == 2
CANNOT chose from потрѣбникъ	 to 	посредникъ, требникъ	 distance == 2
CANNOT chose from очхнути	 to 	дхнути, дохнути	 distance == 2
CANNOT chose from пособляти	 to 	потопляти, послабляти, сподобляти, уподобляти, погубляти, пособити, поновляти	 distance == 2
CANNOT chose from постряпати	 to 	поступати, постригати, вострепати, пострадати, постругати, потрясати	 distance == 2
CANNOT chose from коротати	 to 	орошати, клокотати, пороптати	 distance == 2
CANNOT chose from слабоумие	 to 	благоумие, младоумие	 distance == 2
CANNOT chose from говно	 to 	говядо, лоно, окно, гумно	 distance == 2
CANNOT chose from тщати	 to 	ткати, мщати	 distance == 1
CANNOT chose from глотати	 to 	летати, оглодати, поглотати	 distance == 2
CANNOT chose from вышатати	 to 	выражати, вычитати	 distance == 2
CANNOT chose from соска	 to 	доска, сосна, тоска	 distance == 1
CANNOT chose from задремати	 to 	запрещати, задѣвати, дремати	 distance == 2
CANNOT chose from повѣвати	 to 	повѣщати, порѣвати, повѣшати, повѣдати, повивати, повоевати	 distance == 1
CANNOT chose from давешный	 to 	завѣсный, дверный, завѣтный, навѣтный	 distance == 2
CANNOT chose from отпросити	 to 	вопросити, попросити, упросити, просити	 distance == 2
CANNOT chose from запрѣщати	 to 	заплевати, запрети, прещати, завѣщати, запретити	 distance == 2
CANNOT chose from вывезти	 to 	взлѣзти, везти, отвезти, ввести, свезти, довезти, вырѣзати, вынести, влѣзти	 distance == 2
CANNOT chose from инока	 to 	икона, ирофа, нога, нора, иота, юнота, сноха, юнона	 distance == 2
CANNOT chose from принашивати	 to 	пришивати, приназидати, примѣшивати	 distance == 2
CANNOT chose from грыжный	 to 	оружный, мрежный, дружный, грозный, грѣшный, громный, рыбный, градный, гробный	 distance == 2
CANNOT chose from пуживати	 to 	проживати, преживати	 distance == 2
CANNOT chose from завернути	 to 	навергнути, замерзнути	 distance == 2
CANNOT chose from встащити	 to 	истощити, вступити, встати, ставити, всадити, уставити, оставити	 distance == 2
CANNOT chose from вѣте	 to 	вѣно, лѣто	 distance == 2
CANNOT chose from выкинути	 to 	вринути, вскиснути	 distance == 2
CANNOT chose from свѣчка	 to 	сѣча, свекла, свѣща	 distance == 2
CANNOT chose from водица	 to 	вшица, удица, вдовица	 distance == 2
CANNOT chose from коробка	 to 	корона, коринка	 distance == 2
CANNOT chose from протокъ	 to 	потокъ, пророкъ	 distance == 1
CANNOT chose from щука	 to 	мука, рука	 distance == 1
CANNOT chose from кручинити	 to 	соучинити, причинити, учинити	 distance == 2
CANNOT chose from радошный	 to 	садовный, надобный, радужный, радостный, работный, раздорный	 distance == 2
CANNOT chose from шашка	 to 	фаска, чаша, лавка, рака, наука	 distance == 2
CANNOT chose from трѣснути	 to 	тѣсняти, блеснути, тѣснити, пресхнути	 distance == 2
CANNOT chose from накласти	 to 	заклати, напасти, накладати, скласти, вскласти, наблюсти, класти	 distance == 2
CANNOT chose from подимати	 to 	подумати, подымати	 distance == 1
CANNOT chose from хлебнути	 to 	блеснути, углѣбнути	 distance == 2
CANNOT chose from наклонити	 to 	наложити, наклонитися, поклонити, отклонити, склонити, уклонити	 distance == 2
CANNOT chose from колотити	 to 	поглотити, воплотити, положити	 distance == 2
CANNOT chose from зелень	 to 	голень, фелонь	 distance == 2
CANNOT chose from мѣзинный	 to 	невинный, безчинный, безвинный, нечинный	 distance == 2
CANNOT chose from поясный	 to 	неясный, поносный, ясный, мясный	 distance == 2
CANNOT chose from тибрь	 to 	тиръ, тигръ	 distance == 2
CANNOT chose from нажити	 to 	налити, нашити	 distance == 1
CANNOT chose from даровный	 to 	чаровный, шаровный	 distance == 1
CANNOT chose from поманивати	 to 	помавати, омахивати, помазовати	 distance == 2
CANNOT chose from побирати	 to 	побрати, поборати	 distance == 1
CANNOT chose from привозъ	 to 	приходъ, привходъ, притворъ, преводъ, приносъ, призоръ, привѣтъ, прилогъ	 distance == 2
CANNOT chose from москвитинъ	 to 	москвитянинъ, моавитинъ	 distance == 2
CANNOT chose from затоптати	 to 	заточати, истоптати, закопати, топтати, потоптати	 distance == 2
CANNOT chose from волмина	 to 	долина, волна	 distance == 2
CANNOT chose from слудица	 to 	славица, блудница, сулица, удица, луница	 distance == 2
CANNOT chose from робия	 to 	кония, колия	 distance == 2
CANNOT chose from божница	 to 	ложница, ножница, бойница	 distance == 1
CANNOT chose from пожня	 to 	сотня, воня	 distance == 2
CANNOT chose from завадити	 to 	навадити, завалити	 distance == 1
CANNOT chose from амбаръ	 to 	маръ, амамъ, амадъ, амманъ, аддаръ, аксаръ, амафъ, баръ, аммадъ, адаръ, апсаръ	 distance == 2
CANNOT chose from пригнести	 to 	привнести, принести	 distance == 1
CANNOT chose from тиунъ	 to 	тукъ, трупъ, тиръ, тлѣнъ, анунъ, трусъ, тиринъ, тигръ, тулъ, чинъ, тернъ, аинъ, хинъ, гионъ, зинъ, трудъ, сионъ	 distance == 2
CANNOT chose from смильный	 to 	умильный, сильный	 distance == 1
CANNOT chose from пошибание	 to 	почивание, помизание, поминание, поимание, почитание, покивание, попирание, порицание, пожинание	 distance == 2
CANNOT chose from сволочити	 to 	свободити, воочити, свозопити	 distance == 2
CANNOT chose from подѣяти	 to 	подняти, содѣяти, подаяти, подпяти, посѣяти, порѣяти, подъяти, повѣяти, одѣяти	 distance == 1
CANNOT chose from уряжение	 to 	осяжение, прядение, спряжение, угрожение, уважение, сражение, убѣжение, увядение, княжение, убужение, уранение, трясение, увязение	 distance == 2
